file,category,target,batch,reason,prompt_ref,date,restored
canao_poster_v01_superseded_by_v03.png,角色海报,-,批次1,被v03取代（旧锚点v1：泪痣+玄青衣）,prompts/archived_prompts.md#批次1,2026-07-26,否
canao_concept_v01_moleissue.png,写实概念图,-,批次1,泪痣画成额饰（不合格）,prompts/archived_prompts.md#批次1,2026-07-26,否
canao_sprite_v01_wrongfacing.png,局内静态图,-,批次1,朝向左（不合格）,prompts/archived_prompts.md#批次1,2026-07-26,否
canao_concept_v02_superseded_by_v03.png,写实概念图,-,批次2,被v03取代（旧锚点v2）,prompts/archived_prompts.md#批次2,2026-07-26,否
canao_sprite_v02_superseded_by_v04.png,局内静态图,-,批次2,被v04取代（旧锚点v2+竖幅）,prompts/archived_prompts.md#批次2,2026-07-26,否
canao_sprite_v03_wrongfacing.png,局内静态图,-,批次3,再次朝向左（不合格）,prompts/archived_prompts.md#批次3,2026-07-26,否
card_feng_yu_can_huo_v01_wrongstyle.png,卡图,FENG_YU_CAN_HUO_CARD,批次5,画风与原生不符（写实风）,prompts/archived_prompts.md#批次5,2026-07-26,否
card_star_moon_strike_v01_wrongstyle.png,卡图,STAR_MOON_STRIKE,批次5,画风与原生不符,prompts/archived_prompts.md#批次5,2026-07-26,否
card_edict_v01_wrongstyle.png,卡图,EDICT_CARD,批次5,画风与原生不符,prompts/archived_prompts.md#批次5,2026-07-26,否
card_can_ao_strike_v01_wrongstyle.png,卡图,CAN_AO_STRIKE_CARD,批次5,画风与原生不符,prompts/archived_prompts.md#批次5,2026-07-26,否
card_ji_huo_v01_wrongstyle.png,卡图,JI_HUO_CARD,批次5,画风与原生不符,prompts/archived_prompts.md#批次5,2026-07-26,否
card_chen_tu_zhi_zhan_v01_wrongstyle.png,卡图,CHEN_TU_ZHI_ZHAN_CARD,批次5,画风与原生不符,prompts/archived_prompts.md#批次5,2026-07-26,否
card_qing_luan_gou_fa_v01_wrongstyle.png,卡图,QING_LUAN_GOU_FA_CARD,批次5,画风与原生不符,prompts/archived_prompts.md#批次5,2026-07-26,否
card_feng_yan_bu_xi_v01_wrongstyle.png,卡图,FENG_YAN_BU_XI_CARD,批次5,画风与原生不符,prompts/archived_prompts.md#批次5,2026-07-26,否
card_cheng_tian_shou_ming_v01_wrongstyle.png,卡图,CHENG_TIAN_SHOU_MING_CARD,批次5,画风与原生不符,prompts/archived_prompts.md#批次5,2026-07-26,否
portrait_v02_002_rightstyle_wrongratio.png,卡图,STAR_MOON_STRIKE,批次6,画风正确但竖幅（可作先古牌竖图参考）,prompts/archived_prompts.md#批次6,2026-07-28,否
portrait_v02_003_rightstyle_wrongratio.png,卡图,EDICT_CARD,批次6,画风正确但竖幅,prompts/archived_prompts.md#批次6,2026-07-28,否
portrait_v02_004_rightstyle_wrongratio.png,卡图,CAN_AO_STRIKE_CARD,批次6,画风正确但竖幅,prompts/archived_prompts.md#批次6,2026-07-28,否
portrait_v02_005_rightstyle_wrongratio.png,卡图,CAN_AO_DEFEND_CARD,批次6,画风正确但竖幅,prompts/archived_prompts.md#批次6,2026-07-28,否
portrait_v02_006_rightstyle_wrongratio.png,卡图,JI_HUO_CARD,批次6,画风正确但竖幅,prompts/archived_prompts.md#批次6,2026-07-28,否
portrait_v02_007_rightstyle_wrongratio.png,卡图,CHEN_TU_ZHI_ZHAN_CARD,批次6,画风正确但竖幅；另偏红,prompts/archived_prompts.md#批次6,2026-07-28,否
portrait_v02_008_rightstyle_wrongratio.png,卡图,QING_LUAN_GOU_FA_CARD,批次6,画风正确但竖幅,prompts/archived_prompts.md#批次6,2026-07-28,否
portrait_v02_009_rightstyle_wrongratio.png,卡图,FENG_YAN_BU_XI_CARD,批次6,画风正确但竖幅,prompts/archived_prompts.md#批次6,2026-07-28,否
portrait_v02_010_rightstyle_wrongratio.png,卡图,CHENG_TIAN_SHOU_MING_CARD,批次6,画风正确但竖幅,prompts/archived_prompts.md#批次6,2026-07-28,否
card_can_ao_strike_v02_complex.png,卡图,CAN_AO_STRIKE_CARD,批次7,画面太复杂（应只有武器）,prompts/archived_prompts.md#批次7,2026-07-28,否
card_can_ao_defend_v02_complex.png,卡图,CAN_AO_DEFEND_CARD,批次7,画面太复杂（应为盾/格挡动作）,prompts/archived_prompts.md#批次7,2026-07-28,否
card_qing_luan_gou_fa_v02_prayerlike.png,卡图,QING_LUAN_GOU_FA_CARD,批次7,像许愿祈祷（应为回勾斩怪）,prompts/archived_prompts.md#批次7追加,2026-07-29,否
card_feng_yan_bu_xi_v02_tooweak.png,卡图,FENG_YAN_BU_XI_CARD,批次7,太弱无史诗感,prompts/archived_prompts.md#批次7追加,2026-07-29,否
card_yue_zhan_v01_unclear.png,卡图,YUE_ZHAN_CARD,批次9,交叉物读不出是什么,prompts/archived_prompts.md#批次9,2026-07-29,否
card_nie_pan_v01_noluan.png,卡图,NIE_PAN_CARD,批次9,缺少虚弱无焰青鸾,prompts/archived_prompts.md#批次9,2026-07-29,否
card_yue_zhan_v02_redslashes.png,卡图,YUE_ZHAN_CARD,批次10,剑气变红（应为银白月色）,prompts/archived_prompts.md#批次10,2026-07-29,否
card_jiu_wang_fu_lin_v01_toodark.png,卡图,JIU_WANG_FU_LIN_CARD,批次9,画面太暗（应明亮王座厅）,prompts/archived_prompts.md#批次12,2026-07-29,否
